"Api Shipping","Api Shipping"
Enabled,Enabled
"Dynamic Rate","Dynamic Rate"
"User Name","User Name"
Password,Password
"Api Endpoint","Api Endpoint"
"Displayed Error Message","Displayed Error Message"
"Ship to Applicable Countries","Ship to Applicable Countries"
"Ship to Specific Countries","Ship to Specific Countries"
"Show Method if Not Applicable","Show Method if Not Applicable"
"Sort Order","Sort Order"
"-- Please Select --","-- Please Select --"
